2024-08-07 17:44:34 | DEBUG | mylogger | main.py:171 | travel_control | Inference : No obstacles and river!!!!!
2024-08-07 17:44:34 | DEBUG | mylogger | main.py:171 | travel_control | Inference : No obstacles and river!!!!!
2024-08-07 17:44:35 | DEBUG | mylogger | main.py:171 | travel_control | Inference : No obstacles and river!!!!!
2024-08-07 17:44:36 | DEBUG | mylogger | main.py:171 | travel_control | Inference : No obstacles and river!!!!!
2024-08-07 17:44:38 | DEBUG | mylogger | main.py:171 | travel_control | Inference : No obstacles and river!!!!!
2024-08-07 17:44:39 | DEBUG | mylogger | main.py:171 | travel_control | Inference : No obstacles and river!!!!!
2024-08-07 17:44:40 | DEBUG | mylogger | main.py:171 | travel_control | Inference : No obstacles and river!!!!!
2024-08-07 17:44:41 | DEBUG | mylogger | main.py:171 | travel_control | Inference : No obstacles and river!!!!!
2024-08-07 17:44:42 | DEBUG | mylogger | main.py:105 | Inference_seg | Inference : Inference process exit
2024-08-07 17:56:22 | INFO | mylogger | main.py:40 | px4_read | px4_read module
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:56:22 | DEBUG | mylogger | main.py:254 | <module> | _PX4_COMMUNICATION_ENABLE False
